route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
65-142,1708FA-D2-Saturday-02,5596203,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596204,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596205,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596206,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596207,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596208,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596209,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596210,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596211,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596212,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596213,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596214,"EUCLID",0,787227,650080
65-142,1708FA-D2-Saturday-02,5596215,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596216,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596217,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596218,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596219,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596220,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596221,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596222,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596223,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596224,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596225,"EUCLID",1,787227,650083
65-142,1708FA-D2-Saturday-02,5596226,"EUCLID",1,787227,650083
88-142,1708FA-D2-Saturday-02,5596227,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596228,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596229,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596230,"BERKELEY BART",0,787228,880118
88-142,1708FA-D2-Saturday-02,5596231,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596232,"BERKELEY BART",0,787240,880118
88-142,1708FA-D2-Saturday-02,5596233,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596234,"LAKE MERRITT BART",1,787228,880117
88-142,1708FA-D2-Saturday-02,5596235,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596236,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596237,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596238,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596239,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596240,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596241,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596242,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596243,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596244,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596245,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596246,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596247,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596248,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596249,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596250,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596251,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596252,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596253,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596254,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596255,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596256,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596257,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596258,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596259,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596260,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596261,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596262,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596263,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596264,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596265,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596266,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596267,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596268,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596269,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596270,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596271,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596272,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596273,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596274,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596275,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596276,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596277,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596278,"LAKE MERRITT BART",1,793110,880117
88-142,1708FA-D2-Saturday-02,5596279,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596280,"LAKE MERRITT BART",1,787245,880117
88-142,1708FA-D2-Saturday-02,5596281,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596282,"LAKE MERRITT BART",1,787242,880117
88-142,1708FA-D2-Saturday-02,5596283,"LAKE MERRITT BART",1,787244,880117
88-142,1708FA-D2-Saturday-02,5596284,"LAKE MERRITT BART",1,787241,880117
88-142,1708FA-D2-Saturday-02,5596285,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596286,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596287,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596288,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596289,"BERKELEY BART",0,787241,880118
88-142,1708FA-D2-Saturday-02,5596290,"BERKELEY BART",0,793110,880118
88-142,1708FA-D2-Saturday-02,5596291,"BERKELEY BART",0,787245,880118
88-142,1708FA-D2-Saturday-02,5596292,"BERKELEY BART",0,787242,880118
88-142,1708FA-D2-Saturday-02,5596293,"BERKELEY BART",0,787244,880118
88-142,1708FA-D2-Saturday-02,5596294,"BERKELEY BART",0,787241,880118
51B-142,1708FA-D2-Saturday-02,5596295,"BERKELEY AMTRAK",0,792408,51B0087
51B-142,1708FA-D2-Saturday-02,5596296,"BERKELEY AMTRAK",0,792409,51B0087
51B-142,1708FA-D2-Saturday-02,5596297,"BERKELEY AMTRAK",0,787229,51B0087
51B-142,1708FA-D2-Saturday-02,5596298,"BERKELEY AMTRAK",0,792410,51B0087
51B-142,1708FA-D2-Saturday-02,5596299,"BERKELEY AMTRAK",0,792408,51B0087
51B-142,1708FA-D2-Saturday-02,5596300,"BERKELEY AMTRAK",0,792409,51B0087
51B-142,1708FA-D2-Saturday-02,5596301,"BERKELEY AMTRAK",0,792411,51B0087
51B-142,1708FA-D2-Saturday-02,5596302,"BERKELEY AMTRAK",0,792410,51B0087
51B-142,1708FA-D2-Saturday-02,5596303,"BERKELEY AMTRAK",0,792412,51B0087
51B-142,1708FA-D2-Saturday-02,5596304,"BERKELEY AMTRAK",0,792408,51B0087
